Multi-Category Schedule 2,,,
Category,Family and Type,Level,IfcGUID
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3SXc9zpn99$hsjI8fXdItg
Mechanical Equipment,M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Right Discharge: 14 kW,Level 1,2eg27kdA59xxUQ$qhznLRw
Duct Systems,Duct System: Supply Air,,2eg27kdA59xxUQ$qhznLNz
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2eg27kdA59xxUQ$qhznL2h
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2eg27kdA59xxUQ$qhznL25
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,2eg27kdA59xxUQ$qhznMzs
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2eg27kdA59xxUQ$qhznMzt
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,2eg27kdA59xxUQ$qhznMzY
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,2eg27kdA59xxUQ$qhznMzK
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,2eg27kdA59xxUQ$qhznMzS
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2eg27kdA59xxUQ$qhznMyv
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,2eg27kdA59xxUQ$qhznMyh
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2eg27kdA59xxUQ$qhznMyf
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,2eg27kdA59xxUQ$qhznMyR
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2eg27kdA59xxUQ$qhznMyP
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,2eg27kdA59xxUQ$qhznMyB
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2eg27kdA59xxUQ$qhznMy9
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2eg27kdA59xxUQ$qhznM_z
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,2eg27kdA59xxUQ$qhznM_l
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2eg27kdA59xxUQ$qhznM_j
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,2eg27kdA59xxUQ$qhznM_V
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,2eg27kdA59xxUQ$qhznM_2
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2eg27kdA59xxUQ$qhznMvZ
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,2eg27kdA59xxUQ$qhznMvM
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,2eg27kdA59xxUQ$qhznMuf
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2R94njNd5C6BKWs2D3HqBK
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2R94njNd5C6BKWs2D3HqBL
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2R94njNd5C6BKWs2D3HqBI
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2R94njNd5C6BKWs2D3HqBJ
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqBG
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,2R94njNd5C6BKWs2D3HqBE
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqBF
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,2R94njNd5C6BKWs2D3HqBC
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqBD
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqBB
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,2R94njNd5C6BKWs2D3HqB8
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqB9
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqB7
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,2R94njNd5C6BKWs2D3HqB5
Mechanical Equipment,M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Right Discharge: 11 kW,Level 1,2R94njNd5C6BKWs2D3Hq90
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,2R94njNd5C6BKWs2D3Hq5v
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,2R94njNd5C6BKWs2D3HqTp
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,2R94njNd5C6BKWs2D3HqTe
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqPw
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqPx
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,2R94njNd5C6BKWs2D3HqPu
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,2R94njNd5C6BKWs2D3HqPv
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2R94njNd5C6BKWs2D3HqPA
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2R94njNd5C6BKWs2D3HqPB
Mechanical Equipment,M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Right Discharge: 7 kW,Level 1,2R94njNd5C6BKWs2D3HqMf
Duct Systems,Duct System: Supply Air,,2R94njNd5C6BKWs2D3HqKv
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqKa
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqKY
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqKT
